"","famN","yearOfBirth","yearOfDeath","sex","mother_id","father_id","anoinicio","origem_desc","district_ori","county_ori","ori_long","ori_lat","res_desc","district_res","county_res","res_long","res_lat"
"764","435","1883",NA,"female",NA,NA,"1914","VISEU                          VOUZELA","VISEU","VOUZELA","-8.1120232","40.7231807","VIANA DO CASTELO              CAMINHA","VIANA DO CASTELO","CAMINHA","-8.8378454","41.8732082"
"765","494","2005",NA,"female",NA,NA,"2041","LEIRIA                         ALCOBAÇA","LEIRIA","ALCOBAÇA","-8.9796492","39.548667","VIANA DO CASTELO              VILA NOVA DE CERVEIRA","VIANA DO CASTELO","VILA NOVA DE CERVEIRA","-8.7408025","41.9428454"
"766","279","1906",NA,"female",NA,NA,"1943","SETUBAL                        BARREIRO","SETUBAL","BARREIRO","-9.0790724","38.6608149","AVEIRO                        MEALHADA","AVEIRO","MEALHADA","-8.4534853","40.3784627"
"767","695","1898",NA,"female",NA,NA,"1937","AVEIRO                         SANTA MARIA DA FEIRA","AVEIRO","SANTA MARIA DA FEIRA","-8.5483247","40.926794","SANTAREM                      OUREM","SANTAREM","OUREM","-8.5773408","39.6564974"
"768","772","1965",NA,"male",NA,NA,"1994","COIMBRA                        COIMBRA","COIMBRA","COIMBRA","-8.4102573","40.2033145","FARO                          SILVES","FARO","SILVES","-8.4412051","37.1889976"
"769","863","1877",NA,"male",NA,NA,"1910","COIMBRA                        ARGANIL","COIMBRA","ARGANIL","-8.0537909","40.218499","BRAGANCA                      MIRANDELA","BRAGANCA","MIRANDELA","-7.1808711","41.4853545"
"770","58","1940",NA,"female",NA,NA,"1960","VILA REAL                      MESÃO FRIO","VILA REAL","MESÃO FRIO","-7.8899228","41.1598648","FARO                          SILVES","FARO","SILVES","-8.4412051","37.1889976"
"771","681","1898",NA,"male",NA,NA,"1926","BRAGA                          ESPOSENDE","BRAGA","ESPOSENDE","-8.7805652","41.5309169","LEIRIA                        ANSIÃO","LEIRIA","ANSIÃO","-8.43851","39.9107177"
"772","919","1986",NA,"unknown",NA,NA,"2009","AVEIRO                         AROUCA","AVEIRO","AROUCA","-8.245099","40.9321489","PORTO                         MATOSINHOS","PORTO","MATOSINHOS","-8.6962775","41.1844362"
"773","942","1930",NA,"male",NA,NA,"1969","PORTO                          SANTO TIRSO","PORTO","SANTO TIRSO","-8.4738078","41.3431376","BRAGA                         VILA VERDE","BRAGA","VILA VERDE","-8.4332813","41.6507161"
"774","657","1943",NA,"male",NA,NA,"1972","FARO                           SILVES","FARO","SILVES","-8.4412051","37.1889976","LISBOA                        ALENQUER","LISBOA","ALENQUER","-9.0140033","39.0577004"
"775","483","1877",NA,"male",NA,NA,"1908","SETUBAL                        MOITA","SETUBAL","MOITA","-8.9902047","38.6527329","VIANA DO CASTELO              PONTE DA BARCA","VIANA DO CASTELO","PONTE DA BARCA","-8.41641271603104","41.8064160978201"
"776","270","1986",NA,"female",NA,NA,"2017","AVEIRO                         SANTA MARIA DA FEIRA","AVEIRO","SANTA MARIA DA FEIRA","-8.5483247","40.926794","VILA REAL                     VILA REAL","VILA REAL","VILA REAL","-7.7422354","41.3010351"
"777","301","1931",NA,"male",NA,NA,"1959","FARO                           LOULE","FARO","LOULE","-8.020216","37.1379187","AVEIRO                        MEALHADA","AVEIRO","MEALHADA","-8.4534853","40.3784627"
"778","840","1929",NA,"female",NA,NA,"1965","GUARDA                         AGUIAR DA BEIRA","GUARDA","AGUIAR DA BEIRA","-7.5454104","40.816453","SETUBAL                       SEIXAL","SETUBAL","SEIXAL","-9.0975","38.6410676"
"779","404","1895",NA,"unknown",NA,NA,"1929","COIMBRA                        TABUA","COIMBRA","TABUA","-8.0282218","40.3617145","AVEIRO                        AGUEDA","AVEIRO","AGUEDA","-8.4464368","40.5754246"
"780","762","1875",NA,"female",NA,NA,"1915","LEIRIA                         LEIRIA","LEIRIA","LEIRIA","-8.807683","39.7495331","AVEIRO                        SEVER DO VOUGA","AVEIRO","SEVER DO VOUGA","-8.3717672","40.7334189"
"781","39","1995",NA,"unknown",NA,NA,"2024","BRAGANCA                       TORRE DE MONCORVO","BRAGANCA","TORRE DE MONCORVO","-7.0534405","41.1742164","PORTO                         BAIÃO","PORTO","BAIÃO","-8.035514","41.1617715"
"782","632","1921",NA,"female",NA,NA,"1948","VIANA DO CASTELO               VALENÇA","VIANA DO CASTELO","VALENÇA","-8.64236643582249","42.0274675841917","COIMBRA                       LOUSÃ","COIMBRA","LOUSÃ","-8.2440038","40.1147188"
"783","765","1894",NA,"unknown",NA,NA,"1925","LEIRIA                         CASTANHEIRA DE PERA","LEIRIA","CASTANHEIRA DE PERA","-8.2125382","40.0058478","SANTAREM                      SANTAREM","SANTAREM","SANTAREM","-8.6860119","39.2366618"
"784","459","1944",NA,"unknown",NA,NA,"1966","SANTAREM                       OUREM","SANTAREM","OUREM","-8.5773408","39.6564974","BRAGA                         BARCELOS","BRAGA","BARCELOS","-8.4411619","41.5414598"
"785","766","1946",NA,"male",NA,NA,"1968","BRAGA                          VIEIRA DO MINHO","BRAGA","VIEIRA DO MINHO","-8.1416198","41.6343218","C BRANCO                      BELMONTE","C BRANCO","BELMONTE","-7.3408535","40.351063"
"786","603","1871",NA,"male",NA,NA,"1897","COIMBRA                        LOUSÃ","COIMBRA","LOUSÃ","-8.2440038","40.1147188","PORTO                         BAIÃO","PORTO","BAIÃO","-8.035514","41.1617715"
"787","548","1893",NA,"female",NA,NA,"1930","LEIRIA                         LEIRIA","LEIRIA","LEIRIA","-8.807683","39.7495331","SANTAREM                      ALPIARÇA","SANTAREM","ALPIARÇA","-8.5820055","39.2591889"
"788","459","1999",NA,"unknown",NA,NA,"2038","SANTAREM                       ALPIARÇA","SANTAREM","ALPIARÇA","-8.5820055","39.2591889","AVEIRO                        AGUEDA","AVEIRO","AGUEDA","-8.4464368","40.5754246"
"789","632","1922",NA,"unknown",NA,NA,"1948","COIMBRA                        OLIVEIRA DO HOSPITAL","COIMBRA","OLIVEIRA DO HOSPITAL","-7.8622032","40.3608614","SANTAREM                      CORUCHE","SANTAREM","CORUCHE","-8.5248217","38.9603055"
"790","951","1982",NA,"unknown",NA,NA,"2011","BRAGA                          BARCELOS","BRAGA","BARCELOS","-8.4411619","41.5414598","SANTAREM                      ALMEIRIM","SANTAREM","ALMEIRIM","-8.6259188","39.2075584"
"791","814","1895",NA,"male",NA,NA,"1919","BRAGA                          VILA NOVA DE FAMALICÃO","BRAGA","VILA NOVA DE FAMALICÃO","-8.5237319","41.4111259","LISBOA                        VILA FRANCA DE XIRA","LISBOA","VILA FRANCA DE XIRA","-8.9889932","38.9551563"
"792","721","1973",NA,"unknown",NA,NA,"2000","LEIRIA                         ALCOBAÇA","LEIRIA","ALCOBAÇA","-8.9796492","39.548667","VISEU                         OLIVEIRA DE FRADES","VISEU","OLIVEIRA DE FRADES","-8.1737805","40.7322554"
"793","48","1933",NA,"female",NA,NA,"1972","BRAGA                          AMARES","BRAGA","AMARES","-8.349917","41.6336322","SANTAREM                      ALMEIRIM","SANTAREM","ALMEIRIM","-8.6259188","39.2075584"
"794","126","1901",NA,"male",NA,NA,"1936","PORTO                          PORTO","PORTO","PORTO","-8.6291053","41.1579438","PORTO                         SANTO TIRSO","PORTO","SANTO TIRSO","-8.4738078","41.3431376"
"795","109","1936",NA,"female",NA,NA,"1974","AVEIRO                         SANTA MARIA DA FEIRA","AVEIRO","SANTA MARIA DA FEIRA","-8.5483247","40.926794","BRAGA                         ESPOSENDE","BRAGA","ESPOSENDE","-8.7805652","41.5309169"
"796","501","1937",NA,"female",NA,NA,"1977","PORTO                          MAIA","PORTO","MAIA","-8.621049","41.2278891","FARO                          OLHÃO","FARO","OLHÃO","-7.8423509","37.0260416"
"797","11","1907",NA,"female",NA,NA,"1933","VIANA DO CASTELO               VALENÇA","VIANA DO CASTELO","VALENÇA","-8.64236643582249","42.0274675841917","SETUBAL                       SANTIAGO DO CACEM","SETUBAL","SANTIAGO DO CACEM","-8.6956768","38.0162314"
"798","921","1984",NA,"male",NA,NA,"2018","SANTAREM                       ALPIARÇA","SANTAREM","ALPIARÇA","-8.5820055","39.2591889","VISEU                         MORTAGUA","VISEU","MORTAGUA","-8.2325058","40.3968539"
"799","188","1893",NA,"unknown",NA,NA,"1926","VILA REAL                      SABROSA","VILA REAL","SABROSA","-7.5755135","41.266132","C BRANCO                      COVILHÃ","C BRANCO","COVILHÃ","-7.5043272","40.2805633"
"800","292","1894",NA,"male",NA,NA,"1931","VISEU                          MORTAGUA","VISEU","MORTAGUA","-8.2325058","40.3968539","VIANA DO CASTELO              VILA NOVA DE CERVEIRA","VIANA DO CASTELO","VILA NOVA DE CERVEIRA","-8.7408025","41.9428454"
"801","403","2005",NA,"female",NA,NA,"2028","FARO                           SILVES","FARO","SILVES","-8.4412051","37.1889976","LEIRIA                        FIGUEIRO DOS VINHOS","LEIRIA","FIGUEIRO DOS VINHOS","-8.2801574","39.8993771"
"802","877","1973",NA,"male",NA,NA,"2011","VISEU                          TAROUCA","VISEU","TAROUCA","-7.7750036","41.0174461","PORTO                         PENAFIEL","PORTO","PENAFIEL","-8.2891305","41.2052808"
"803","774","1905",NA,"male",NA,NA,"1939","GUARDA                         MEDA","GUARDA","MEDA","-7.2595951","40.9670544","LISBOA                        VILA FRANCA DE XIRA","LISBOA","VILA FRANCA DE XIRA","-8.9889932","38.9551563"
"804","669","1953",NA,"male",NA,NA,"1979","AVEIRO                         ANADIA","AVEIRO","ANADIA","-8.4354306","40.4409572","AVEIRO                        OLIVEIRA DE AZEMEIS","AVEIRO","OLIVEIRA DE AZEMEIS","-8.4769763","40.8387294"
"805","126","1964",NA,"female",NA,NA,"2002","C BRANCO                       COVILHÃ","C BRANCO","COVILHÃ","-7.5043272","40.2805633","PORTO                         SANTO TIRSO","PORTO","SANTO TIRSO","-8.4738078","41.3431376"
"806","524","1977",NA,"female",NA,NA,"2002","SETUBAL                        SETUBAL","SETUBAL","SETUBAL","-8.8909328","38.5260437","COIMBRA                       SOURE","COIMBRA","SOURE","-8.6218634","40.0604197"
"807","200","1923",NA,"female",NA,NA,"1948","VISEU                          CINFÃES","VISEU","CINFÃES","-8.0898477","41.071713","BRAGA                         GUIMARÃES","BRAGA","GUIMARÃES","-8.426507","41.5454486"
"808","300","2000",NA,"male",NA,NA,"2025","VIANA DO CASTELO               MONÇÃO","VIANA DO CASTELO","MONÇÃO","-8.48168647798729","42.0773036128971","COIMBRA                       PENACOVA","COIMBRA","PENACOVA","-8.28054","40.2704883"
"809","243","1940",NA,"male",NA,NA,"1962","BRAGA                          VILA NOVA DE FAMALICÃO","BRAGA","VILA NOVA DE FAMALICÃO","-8.5237319","41.4111259","LEIRIA                        PENICHE","LEIRIA","PENICHE","-9.387622","39.3603291"
"810","418","1923",NA,"female",NA,NA,"1949","BRAGA                          CABECEIRAS DE BASTO","BRAGA","CABECEIRAS DE BASTO","-7.9979753","41.5116939","GUARDA                        CELORICO DA BEIRA","GUARDA","CELORICO DA BEIRA","-7.3927217","40.6335005"
"811","154","1913",NA,"female",NA,NA,"1940","C BRANCO                       COVILHÃ","C BRANCO","COVILHÃ","-7.5043272","40.2805633","LISBOA                        ALENQUER","LISBOA","ALENQUER","-9.0140033","39.0577004"
"812","647","1892",NA,"female",NA,NA,"1926","AVEIRO                         SANTA MARIA DA FEIRA","AVEIRO","SANTA MARIA DA FEIRA","-8.5483247","40.926794","SANTAREM                      SALVATERRA DE MAGOS","SANTAREM","SALVATERRA DE MAGOS","-8.794182","39.0272019"
"813","22","1960",NA,"female",NA,NA,"1996","VIANA DO CASTELO               ARCOS DE VALDEVEZ","VIANA DO CASTELO","ARCOS DE VALDEVEZ","-8.41885767651288","41.8468116541516","AVEIRO                        ANADIA","AVEIRO","ANADIA","-8.4354306","40.4409572"
"814","513","1930",NA,"female",NA,NA,"1959","LEIRIA                         POMBAL","LEIRIA","POMBAL","-8.6321415","39.9167748","COIMBRA                       ARGANIL","COIMBRA","ARGANIL","-8.0537909","40.218499"
"815","294","1908",NA,"female",NA,NA,"1929","VIANA DO CASTELO               ARCOS DE VALDEVEZ","VIANA DO CASTELO","ARCOS DE VALDEVEZ","-8.41885767651288","41.8468116541516","COIMBRA                       PAMPILHOSA DA SERRA","COIMBRA","PAMPILHOSA DA SERRA","-7.9519961","40.0460146"
"816","578","1950",NA,"unknown",NA,NA,"1985","PORTO                          VILA DO CONDE","PORTO","VILA DO CONDE","-8.7478619","41.3517302","AVEIRO                        AGUEDA","AVEIRO","AGUEDA","-8.4464368","40.5754246"
"817","815","1993",NA,"female",NA,NA,"2025","BRAGANCA                       BRAGANÇA","BRAGANCA","BRAGANÇA","-6.756738","41.8061131","VIANA DO CASTELO              PONTE DA BARCA","VIANA DO CASTELO","PONTE DA BARCA","-8.41641271603104","41.8064160978201"
"818","977","1977",NA,"female",NA,NA,"2016","COIMBRA                        COIMBRA","COIMBRA","COIMBRA","-8.4102573","40.2033145","VIANA DO CASTELO              PAREDES DE COURA","VIANA DO CASTELO","PAREDES DE COURA","-8.5614589","41.9130455"
"819","755","1992",NA,"female",NA,NA,"2022","VISEU                          TAROUCA","VISEU","TAROUCA","-7.7750036","41.0174461","AVEIRO                        SANTA MARIA DA FEIRA","AVEIRO","SANTA MARIA DA FEIRA","-8.5483247","40.926794"
"820","510","1914",NA,"unknown",NA,NA,"1950","AVEIRO                         MURTOSA","AVEIRO","MURTOSA","-8.6399173","40.7370493","C BRANCO                      PENAMACOR","C BRANCO","PENAMACOR","-7.1714925","40.169313"
"821","494","1950",NA,"male",NA,NA,"1975","LEIRIA                         BOMBARRAL","LEIRIA","BOMBARRAL","-9.1580682","39.2682645","SETUBAL                       BARREIRO","SETUBAL","BARREIRO","-9.0790724","38.6608149"
"822","296","1893",NA,"male",NA,NA,"1914","BRAGANCA                       TORRE DE MONCORVO","BRAGANCA","TORRE DE MONCORVO","-7.0534405","41.1742164","COIMBRA                       MONTEMOR-O-VELHO","COIMBRA","MONTEMOR-O-VELHO","-8.6826636","40.1748245"
"823","3000","1994",NA,"female",NA,NA,"2030","LEIRIA                         CASTANHEIRA DE PERA","LEIRIA","CASTANHEIRA DE PERA","-8.2125382","40.0058478","VISEU                         CARREGAL DO SAL","VISEU","CARREGAL DO SAL","-7.9980002","40.4347784"
"824","816","1990",NA,"unknown",NA,NA,"2029","PORTO                          MATOSINHOS","PORTO","MATOSINHOS","-8.6962775","41.1844362","LEIRIA                        CASTANHEIRA DE PERA","LEIRIA","CASTANHEIRA DE PERA","-8.2125382","40.0058478"
"825","559","1908",NA,"unknown",NA,NA,"1940","BRAGA                          GUIMARÃES","BRAGA","GUIMARÃES","-8.426507","41.5454486","COIMBRA                       COIMBRA","COIMBRA","COIMBRA","-8.4102573","40.2033145"
"826","12","1932",NA,"unknown",NA,NA,"1960","COIMBRA                        LOUSÃ","COIMBRA","LOUSÃ","-8.2440038","40.1147188","COIMBRA                       VILA NOVA DE POIARES","COIMBRA","VILA NOVA DE POIARES","-8.25907","40.2107667"
"827","109","1954",NA,"female",NA,NA,"1989","AVEIRO                         AROUCA","AVEIRO","AROUCA","-8.245099","40.9321489","AVEIRO                        SANTA MARIA DA FEIRA","AVEIRO","SANTA MARIA DA FEIRA","-8.5483247","40.926794"
"828","493","1969",NA,"female",NA,NA,"1996","LISBOA                         TORRES VEDRAS","LISBOA","TORRES VEDRAS","-9.2600341","39.0917759","SETUBAL                       SESIMBRA","SETUBAL","SESIMBRA","-9.1014903","38.444217"
"829","354","1988",NA,"female",NA,NA,"2028","VISEU                          TONDELA","VISEU","TONDELA","-8.0802569","40.5170645","COIMBRA                       CONDEIXA-A-NOVA","COIMBRA","CONDEIXA-A-NOVA","-8.498689","40.1128075"
"830","920","1966",NA,"female",NA,NA,"1996","BEJA                           FERREIRA DO ALENTEJO","BEJA","FERREIRA DO ALENTEJO","-8.1140713","38.0593873","FARO                          ALBUFEIRA","FARO","ALBUFEIRA","-8.2478796","37.0890719"
"831","966","1950",NA,"male",NA,NA,"1979","AVEIRO                         CASTELO DE PAIVA","AVEIRO","CASTELO DE PAIVA","-8.2714736","41.0409444","AVEIRO                        OLIVEIRA DE AZEMEIS","AVEIRO","OLIVEIRA DE AZEMEIS","-8.4769763","40.8387294"
"832","247","1941",NA,"male",NA,NA,"1977","COIMBRA                        COIMBRA","COIMBRA","COIMBRA","-8.4102573","40.2033145","GUARDA                        SEIA","GUARDA","SEIA","-7.707845","40.4148619"
"833","862","1958",NA,"female",NA,NA,"1993","VISEU                          TONDELA","VISEU","TONDELA","-8.0802569","40.5170645","FARO                          LOULE","FARO","LOULE","-8.020216","37.1379187"
"834","712","1991",NA,"male",NA,NA,"2027","VIANA DO CASTELO               MONÇÃO","VIANA DO CASTELO","MONÇÃO","-8.48168647798729","42.0773036128971","VILA REAL                     SABROSA","VILA REAL","SABROSA","-7.5755135","41.266132"
"835","119","1916",NA,"female",NA,NA,"1946","AVEIRO                         ANADIA","AVEIRO","ANADIA","-8.4354306","40.4409572","PORTO                         BAIÃO","PORTO","BAIÃO","-8.035514","41.1617715"
"836","821","1897",NA,"male",NA,NA,"1922","AVEIRO                         MURTOSA","AVEIRO","MURTOSA","-8.6399173","40.7370493","SANTAREM                      TOMAR","SANTAREM","TOMAR","-8.4043125","39.6053819"
"837","885","1887",NA,"female",NA,NA,"1914","FARO                           LOULE","FARO","LOULE","-8.020216","37.1379187","SANTAREM                      SANTAREM","SANTAREM","SANTAREM","-8.6860119","39.2366618"
"838","863","1941",NA,"unknown",NA,NA,"1971","PORTO                          BAIÃO","PORTO","BAIÃO","-8.035514","41.1617715","BRAGA                         BRAGA","BRAGA","BRAGA","-8.426507","41.5454486"
"839","306","1951",NA,"unknown",NA,NA,"1991","GUARDA                         FIGUEIRA DE CASTELO RODRIGO","GUARDA","FIGUEIRA DE CASTELO RODRIGO","-6.9635613","40.8946241","PORTO                         AMARANTE","PORTO","AMARANTE","-8.0826488","41.2696357"
"840","755","1879",NA,"female",NA,NA,"1900","COIMBRA                        OLIVEIRA DO HOSPITAL","COIMBRA","OLIVEIRA DO HOSPITAL","-7.8622032","40.3608614","AVEIRO                        S. JOÃO DA MADEIRA","AVEIRO","S. JOÃO DA MADEIRA","-8.4906716","40.9005238"
"841","745","1871",NA,"female",NA,NA,"1895","LEIRIA                         CASTANHEIRA DE PERA","LEIRIA","CASTANHEIRA DE PERA","-8.2125382","40.0058478","COIMBRA                       GOIS","COIMBRA","GOIS","-8.1106319","40.155204"
"842","639","1956",NA,"male",NA,NA,"1979","VIANA DO CASTELO               ARCOS DE VALDEVEZ","VIANA DO CASTELO","ARCOS DE VALDEVEZ","-8.41885767651288","41.8468116541516","LEIRIA                        CASTANHEIRA DE PERA","LEIRIA","CASTANHEIRA DE PERA","-8.2125382","40.0058478"
"843","36","1918",NA,"unknown",NA,NA,"1951","AVEIRO                         ESTARREJA","AVEIRO","ESTARREJA","-8.5709856","40.7528385","COIMBRA                       COIMBRA","COIMBRA","COIMBRA","-8.4102573","40.2033145"
"844","544","1905",NA,"male",NA,NA,"1944","SETUBAL                        BARREIRO","SETUBAL","BARREIRO","-9.0790724","38.6608149","LEIRIA                        CASTANHEIRA DE PERA","LEIRIA","CASTANHEIRA DE PERA","-8.2125382","40.0058478"
"845","475","1973",NA,"female",NA,NA,"1996","PORTALEGRE                     AVIS","PORTALEGRE","AVIS","-7.4324129","39.2992955","VIANA DO CASTELO              CAMINHA","VIANA DO CASTELO","CAMINHA","-8.8378454","41.8732082"
"846","902","1929",NA,"male",NA,NA,"1955","PORTO                          PORTO","PORTO","PORTO","-8.6291053","41.1579438","SETUBAL                       ALCOCHETE","SETUBAL","ALCOCHETE","-8.9628696","38.7562753"
"847","730","1969",NA,"unknown",NA,NA,"2009","SETUBAL                        BARREIRO","SETUBAL","BARREIRO","-9.0790724","38.6608149","BRAGA                         TERRAS DE BOURO","BRAGA","TERRAS DE BOURO","-8.3062444","41.7167409"
"848","659","1923",NA,"unknown",NA,NA,"1960","COIMBRA                        SOURE","COIMBRA","SOURE","-8.6218634","40.0604197","VIANA DO CASTELO              ARCOS DE VALDEVEZ","VIANA DO CASTELO","ARCOS DE VALDEVEZ","-8.41885767651288","41.8468116541516"
"849","168","1919",NA,"male",NA,NA,"1951","COIMBRA                        OLIVEIRA DO HOSPITAL","COIMBRA","OLIVEIRA DO HOSPITAL","-7.8622032","40.3608614","LISBOA                        OEIRAS","LISBOA","OEIRAS","-9.3146014","38.6968607"
"850","490","1923",NA,"unknown",NA,NA,"1948","VISEU                          VOUZELA","VISEU","VOUZELA","-8.1120232","40.7231807","LISBOA                        LISBOA","LISBOA","LISBOA","-9.1393366","38.7222524"
"851","630","1940",NA,"female",NA,NA,"1977","AVEIRO                         OLIVEIRA DO BAIRRO","AVEIRO","OLIVEIRA DO BAIRRO","-8.498208","40.5170209","AVEIRO                        AGUEDA","AVEIRO","AGUEDA","-8.4464368","40.5754246"
"852","468","1912",NA,"unknown",NA,NA,"1938","LEIRIA                         ANSIÃO","LEIRIA","ANSIÃO","-8.43851","39.9107177","LISBOA                        ALENQUER","LISBOA","ALENQUER","-9.0140033","39.0577004"
"853","547","1956",NA,"unknown",NA,NA,"1983","LISBOA                         AZAMBUJA","LISBOA","AZAMBUJA","-8.8692915","39.0696027","AVEIRO                        ESTARREJA","AVEIRO","ESTARREJA","-8.5709856","40.7528385"
"854","877","1890",NA,"unknown",NA,NA,"1915","GUARDA                         MEDA","GUARDA","MEDA","-7.2595951","40.9670544","SETUBAL                       MOITA","SETUBAL","MOITA","-8.9902047","38.6527329"
"855","459","1920",NA,"male",NA,NA,"1942","BRAGANCA                       FREIXO DE ESPADA A CINTA","BRAGANCA","FREIXO DE ESPADA A CINTA","-6.8087993","41.0900806","COIMBRA                       MONTEMOR-O-VELHO","COIMBRA","MONTEMOR-O-VELHO","-8.6826636","40.1748245"
"856","766","1965",NA,"female",NA,NA,"1996","BRAGA                          VILA NOVA DE FAMALICÃO","BRAGA","VILA NOVA DE FAMALICÃO","-8.5237319","41.4111259","PORTO                         SANTO TIRSO","PORTO","SANTO TIRSO","-8.4738078","41.3431376"
"857","383","1927",NA,"unknown",NA,NA,"1951","BEJA                           FERREIRA DO ALENTEJO","BEJA","FERREIRA DO ALENTEJO","-8.1140713","38.0593873",NA,NA,NA,NA,NA
"858","322","1945",NA,"unknown",NA,NA,"1976","VIANA DO CASTELO               ARCOS DE VALDEVEZ","VIANA DO CASTELO","ARCOS DE VALDEVEZ","-8.41885767651288","41.8468116541516","LISBOA                        LOURES","LISBOA","LOURES","-9.1741095","38.831549"
"859","321","1977",NA,"female",NA,NA,"2003","AVEIRO                         SANTA MARIA DA FEIRA","AVEIRO","SANTA MARIA DA FEIRA","-8.5483247","40.926794","VIANA DO CASTELO              CAMINHA","VIANA DO CASTELO","CAMINHA","-8.8378454","41.8732082"
"860","809","1928",NA,"male",NA,NA,"1956","PORTO                          MATOSINHOS","PORTO","MATOSINHOS","-8.6962775","41.1844362","AVEIRO                        MURTOSA","AVEIRO","MURTOSA","-8.6399173","40.7370493"
"861","955","1932",NA,"male",NA,NA,"1968","PORTO                          GONDOMAR","PORTO","GONDOMAR","-8.5291423","41.1395599","LEIRIA                        ANSIÃO","LEIRIA","ANSIÃO","-8.43851","39.9107177"
"862","906","1962",NA,"unknown",NA,NA,"1990","BRAGA                          BARCELOS","BRAGA","BARCELOS","-8.4411619","41.5414598","SETUBAL                       SEIXAL","SETUBAL","SEIXAL","-9.0975","38.6410676"
"863","256","1917",NA,"male",NA,NA,"1953","COIMBRA                        PAMPILHOSA DA SERRA","COIMBRA","PAMPILHOSA DA SERRA","-7.9519961","40.0460146","COIMBRA                       GOIS","COIMBRA","GOIS","-8.1106319","40.155204"
"864","896","1888",NA,"female",NA,NA,"1910","VISEU                          VISEU","VISEU","VISEU","-7.9124712","40.6565861","FARO                          OLHÃO","FARO","OLHÃO","-7.8423509","37.0260416"
"865","48","1901",NA,"male",NA,NA,"1931","BRAGANCA                       MIRANDELA","BRAGANCA","MIRANDELA","-7.1808711","41.4853545","AVEIRO                        SEVER DO VOUGA","AVEIRO","SEVER DO VOUGA","-8.3717672","40.7334189"
"866","576","2000",NA,"female",NA,NA,"2022","PORTO                          PAREDES","PORTO","PAREDES","-8.3303867","41.2051674","LEIRIA                        PENICHE","LEIRIA","PENICHE","-9.387622","39.3603291"
"867","637","1905",NA,"male",NA,NA,"1933","BRAGA                          BARCELOS","BRAGA","BARCELOS","-8.4411619","41.5414598","SANTAREM                      ALMEIRIM","SANTAREM","ALMEIRIM","-8.6259188","39.2075584"
"868","362","1919",NA,"male",NA,NA,"1958","BRAGANCA                       MIRANDA DO DOURO","BRAGANCA","MIRANDA DO DOURO","-6.27151467826203","41.502561271749","FARO                          OLHÃO","FARO","OLHÃO","-7.8423509","37.0260416"
"869","151","1966",NA,"female",NA,NA,"1996","VISEU                          NELAS","VISEU","NELAS","-7.8498679","40.537787","PORTO                         SANTO TIRSO","PORTO","SANTO TIRSO","-8.4738078","41.3431376"
"870","742","1961",NA,"unknown",NA,NA,"1997","COIMBRA                        PAMPILHOSA DA SERRA","COIMBRA","PAMPILHOSA DA SERRA","-7.9519961","40.0460146","PORTO                         VILA DO CONDE","PORTO","VILA DO CONDE","-8.7478619","41.3517302"
"871","421","1917",NA,"unknown",NA,NA,"1955","AVEIRO                         ESTARREJA","AVEIRO","ESTARREJA","-8.5709856","40.7528385","BRAGA                         BRAGA","BRAGA","BRAGA","-8.426507","41.5454486"
"872","833","1973",NA,"male",NA,NA,"2003","VISEU                          CARREGAL DO SAL","VISEU","CARREGAL DO SAL","-7.9980002","40.4347784","LISBOA                        TORRES VEDRAS","LISBOA","TORRES VEDRAS","-9.2600341","39.0917759"
"873","220","1951",NA,"male",NA,NA,"1979","AVEIRO                         ANADIA","AVEIRO","ANADIA","-8.4354306","40.4409572","PORTO                         TROFA","PORTO","TROFA","-8.5599893","41.3390535"
"874","913","1906",NA,"female",NA,NA,"1933","SETUBAL                        MONTIJO","SETUBAL","MONTIJO","-8.9741183","38.7055652","VISEU                         CARREGAL DO SAL","VISEU","CARREGAL DO SAL","-7.9980002","40.4347784"
"875","191","1981",NA,"male",NA,NA,"2011","COIMBRA                        SOURE","COIMBRA","SOURE","-8.6218634","40.0604197","PORTO                         VILA DO CONDE","PORTO","VILA DO CONDE","-8.7478619","41.3517302"
"876","588","1991",NA,"female",NA,NA,"2012","VISEU                          NELAS","VISEU","NELAS","-7.8498679","40.537787","COIMBRA                       VILA NOVA DE POIARES","COIMBRA","VILA NOVA DE POIARES","-8.25907","40.2107667"
"877","551","1960",NA,"male",NA,NA,"1998","PORTO                          VALONGO","PORTO","VALONGO","-8.498352","41.1887594","VISEU                         PENALVA DO CASTELO","VISEU","PENALVA DO CASTELO","-7.633113","40.6862295"
"878","186","1916",NA,"unknown",NA,NA,"1945","PORTO                          VILA NOVA DE GAIA","PORTO","VILA NOVA DE GAIA","-8.6117851","41.1238759","VILA REAL                     SABROSA","VILA REAL","SABROSA","-7.5755135","41.266132"
"879","936","1928",NA,"male",NA,NA,"1958","COIMBRA                        LOUSÃ","COIMBRA","LOUSÃ","-8.2440038","40.1147188","BRAGA                         AMARES","BRAGA","AMARES","-8.349917","41.6336322"
"880","41","1976",NA,"unknown",NA,NA,"2004","AVEIRO                         ESTARREJA","AVEIRO","ESTARREJA","-8.5709856","40.7528385","PORTO                         TROFA","PORTO","TROFA","-8.5599893","41.3390535"
"881","487","1920",NA,"unknown",NA,NA,"1960","GUARDA                         SEIA","GUARDA","SEIA","-7.707845","40.4148619","LISBOA                        OEIRAS","LISBOA","OEIRAS","-9.3146014","38.6968607"
